source_id,ra,dec,parallax,parallax_error,parallax_over_error,pmra,pmdec,pmra_error,pmdec_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,ruwe
64879402312818944,56.21358052689102,23.26872443224326,7.394624876379964,0.018698333,395.46976,20.545926181047776,-44.30031551839597,0.022892917,0.016449539,8.886077,9.084315,8.53639,0.547925,0.9805125
64912112784703488,56.842836514479124,23.17263060331589,1.073797737603691,0.024691796,43.488037,1.05395622623117,-4.633142594452926,0.030178668,0.020668607,14.571305,15.044904,13.9396,1.1053038,0.98232937
64912422022347520,56.871079739547945,23.168918835384503,1.3147650158782254,0.04729264,27.800627,9.642170595244021,-0.5506594830721091,0.057124503,0.04053867,15.959147,16.570969,15.215928,1.3550406,1.0304192
64923520217910144,57.29459114522734,23.26716245860921,0.9595622875759316,0.01933966,49.616295,-4.815445154002914,-2.1243153545447986,0.021846795,0.015884548,8.387087,9.381275,7.409191,1.972084,0.99418205
64929636251329792,57.38072643910579,23.317967995675062,0.7399785125978301,0.02679679,27.614447,-8.156428987220307,-1.2869768430974586,0.029969903,0.020901063,14.917778,15.355677,14.305132,1.0505447,0.93973154
64931629116138880,57.526173452914364,23.43718129760021,0.9912602036032861,0.020825086,47.59933,4.492496339668785,1.546213900543553,0.022619983,0.015179525,13.9982,14.372285,13.453592,0.9186926,0.95782405
64931766555100032,57.43133286164163,23.393140368153716,1.0653928735728815,0.06763603,15.751855,6.775919234163453,-7.514747136422368,0.07743872,0.052699182,16.657925,17.390163,15.830002,1.5601616,0.95630634
64936817437168512,57.229913405432534,23.360369809927732,0.7100671180611371,0.0808677,8.780602,-2.4900937693030873,-4.8867004479936655,0.09753878,0.06387801,17.301048,17.997719,16.494394,1.5033245,0.996289
64937023594977408,57.22078650139435,23.365882067642072,1.2721778496442537,0.021931116,58.007896,7.217642044983919,7.574910619836852,0.026884211,0.017278096,14.591276,15.06349,13.952789,1.1107006,1.0474337
64940356489596672,57.18571483307923,23.41149560223732,1.1837880739300115,0.029240582,40.48442,1.4669145511226942,-15.763341458311356,0.032440387,0.022615433,15.005465,15.465775,14.374344,1.0914307,1.0423844
